[ 2019-07-18 11:50:28 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:29 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:31 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:32 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:33 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:34 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:35 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:36 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:37 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:39 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:40 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:41 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:42 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:43 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:44 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:46 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:47 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:48 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:49 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:50 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:51 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:52 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:54 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:55 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:56 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:57 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:58 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:59 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:00 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:02 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:03 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:04 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:05 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:06 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:07 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:09 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:10 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
